Model,Data Type,AUC-ROC,Precision_0,Recall_0,F1_0,Precision_1,Recall_1,F1_1,Accuracy
SVM,Raw Data,0.9967245332459875,0.9722222222222222,0.9859154929577465,0.9790209790209791,0.9761904761904762,0.9534883720930233,0.9647058823529412,0.9736842105263158
SVM,Processed Data,0.9977071732721914,0.9857142857142858,0.971830985915493,0.9787234042553191,0.9545454545454546,0.9767441860465116,0.9655172413793104,0.9736842105263158
Random Forest,Raw Data,0.9980347199475925,0.9857142857142858,0.971830985915493,0.9787234042553191,0.9545454545454546,0.9767441860465116,0.9655172413793104,0.9736842105263158
Random Forest,Processed Data,0.9932852931542745,0.9857142857142858,0.971830985915493,0.9787234042553191,0.9545454545454546,0.9767441860465116,0.9655172413793104,0.9736842105263158
XGBoost,Raw Data,0.9980347199475925,0.9857142857142858,0.971830985915493,0.9787234042553191,0.9545454545454546,0.9767441860465116,0.9655172413793104,0.9736842105263158
XGBoost,Processed Data,0.9868981329839502,0.971830985915493,0.971830985915493,0.971830985915493,0.9534883720930233,0.9534883720930233,0.9534883720930233,0.9649122807017544
Logistic Regression,Raw Data,0.99737962659679,0.9859154929577465,0.9859154929577465,0.9859154929577465,0.9767441860465116,0.9767441860465116,0.9767441860465116,0.9824561403508771
Logistic Regression,Processed Data,0.9983622666229939,0.9857142857142858,0.971830985915493,0.9787234042553191,0.9545454545454546,0.9767441860465116,0.9655172413793104,0.9736842105263158
