Model,Data Type,AUC-ROC,Accuracy,Precision_0,Recall_0,F1_0,Precision_1,Recall_1,F1_1
TensorFlow,Raw Data,0.9862430691719055,0.9736841917037964,0.9722222222222222,0.9859154929577465,0.9790209790209791,0.9761904761904762,0.9534883720930233,0.9647058823529412
PyTorch,Raw Data,0.99475925319358,0.956140350877193,0.9714285714285714,0.9577464788732394,0.9645390070921985,0.9318181818181818,0.9534883720930233,0.9425287356321839
TensorFlow,Processed Data,0.9980347752571106,0.9824561476707458,0.9859154929577465,0.9859154929577465,0.9859154929577465,0.9767441860465116,0.9767441860465116,0.9767441860465116
PyTorch,Processed Data,0.9980347199475925,0.9649122807017544,0.971830985915493,0.971830985915493,0.971830985915493,0.9534883720930233,0.9534883720930233,0.9534883720930233
